  6-40389-10002,  FULL SAIL AMBER 6PK NR
  6-40389-10006,  FULL SAIL IPA 6PK NR
  6-41200-30100,  FULL SAIL PALE ALE 6PK NR
  0-41827-00144,  FULL SAIL SESSION FEST
  0-83783-47529,  GAFFEL KOLSCH 6PK
  0-18200-61047,  GENESEE BEER 12PK CANS
  0-18200-61030,  GENESEE BEER 30PK CANS
  0-18200-00556,  GENESEE BEER 6PK BTLS
  0-34100-00091,  GENESEE BEER SNGL CAN
  0-34100-01509,  GENESEE CRM ALE 12PK CANS
  0-18200-86031,  GENESEE CRM ALE 30PK CANS
  0-34100-03509,  GENESEE HERITAGE 12PK
  0-34100-62509,  GENESEE LIGHT 12P/12Z CAN
  0-22100-11258,  GENESEE LIGHT 30PK CANS
  0-42572-05101,  GENESEE N.A. 12PK CANS
  0-70310-00146,  GENNY LIGHT SNGL CAN
  6-41455-11022,  GOOSE ISLAND 312 URB WHT
  6-41455-11025,  GOOSE ISLAND BOURBON CNTY
  6-41455-11028,  GOOSE ISLAND CHRISTMAS
  0-85725-10821,  GOOSE ISLAND HONKER 12 NR
  6-41455-11035,  GOOSE ISLAND HONKER S ALE
  6-41455-11036,  GOOSE ISLAND IPA CHICAGO
  6-36251-74012,  GOOSE ISLAND MATILDA
  6-41455-11065,  GOOSE ISLAND MATILDA 4PK
  6-36251-76000,  GOOSE ISLAND PEPE NERO
  6-41834-61196,  GOOSE ISLAND PEPE NERO
  6-36251-77000,  GOOSE ISLAND PERE JACQUES
  6-42842-00002,  GOOSE ISLAND PERE JACQUES
  6-42855-11260,  GOOSE ISLAND SEASONAL 6PK
  6-36251-78000,  GOOSE ISLAND SOFIE
  6-42855-21260,  GOOSE ISLAND SOFIE 4PK
  0-80660-95621,  GREAT DIVIDE BREWERS PICK
  6-42860-20005,  GREAT DIVIDE DEN PALE
  6-36251-87020,  GREAT DIVIDE HERCULES DBL
  6-42860-20032,  GREAT DIVIDE TITAN IPA
  6-42860-20033,  GREAT DIVIDE WLD RASP ALE
  6-36412-02722,  GREAT DIVIDE YETI IMPL ST
  6-42860-20036,  GREAT LKS BURNING RIVER
  6-42860-20037,  GREAT LKS CHRISTMAS ALE
  6-42860-20040,  GREAT LKS COMM PERRY 6PK
  0-85725-21822,  GREAT LKS DORTMUNDER 6PK
  6-42860-20050,  GREAT LKS EDMUND FITZGRLD
  6-48311-10663,  GREAT LKS ELIOT NESS
  0-50939-12121,  GREAT LKS TASTER S PACK
  0-85725-10809,  GREEN BELGIAN AMBER GF
  0-85725-10811,  GREEN BELGIAN DUBBEL GF
  6-49440-00021,  GREEN FLASH HOP HEAD 4PK
  6-49440-27675,  GREEN FLASH WEST COAST
  0-82054-10454,  GRIMBERGEN BELGIUM BLOND
  0-82054-10565,  GRIMBERGEN BELGIUM DUBBEL
  0-82054-10785,  GROLSCH LAGER 4PK NR
  0-82488-12345,  GROLSCH LAGER 6PK
  0-82488-12377,  GUINNESS BLACK LAGER 6PK
  0-80660-95715,  GUINNESS DRAUGHT 12PK BOT
  0-82488-12820,  GUINNESS DRAUGHT 4PK CAN
  0-82488-12830,  GUINNESS DRAUGHT 6PK BTLS
  0-80660-95757,  GUINNESS DRAUGHT 8PK CANS
  0-85725-10815,  GUINNESS EXTRA STOUT
  0-82488-12910,  GUINNESS EXTRA STOUT 6PK
  6-02725-00017,  GUINNESS WINTER SELECT 12
  0-70310-70029,  HARPOON APPLE CIDER 6PK
  6-54580-00105,  HARPOON CHOCOLATE STOUT
  0-50939-12122,  HARPOON IPA 12PK BTLS
  6-54580-00202,  HARPOON IPA 6PK BTLS
  6-54580-00204,  HARPOON LEVIATHAN 4PK
  6-54580-00209,  HARPOON RICH & DAN S RYE
  6-54580-00220,  HARPOON SSNL 6PK
  0-70310-00142,  HARPOON STYLE MIX
  6-54580-00221,  HARPOON UFO HEFEWE 6PK
  6-60588-02060,  HARPOON UFO WHITE 6PK
  0-80660-95937,  HARPS LAGER 12PK
  0-83820-18114,  HARPS LAGER 6PK NR
  6-60588-04060,  HE BREW GENESIS ALE 6PK
  6-60588-05060,  HE BREW MESSIAH ALE 6PK
  0-83820-18116,  HEINEKEN 4PK CANS
  0-83820-23473,  HEINEKEN 6PK CANS
  0-68213-03412,  HEINEKEN ALE 5L KEG
  0-82054-80551,  HEINEKEN LAGER 12PK
  0-82054-80751,  HEINEKEN LAGER 12PK NR
  0-72890-00423,  HEINEKEN LAGER 18PK BTLS
  0-83820-56793,  HEINEKEN LAGER 6P/12Z NR
  0-85725-11520,  HEINEKEN LAGER SNGL CAN
  0-80660-95623,  HEINEKEN LIGHT 18PK BTLS
  0-68213-09412,  HEINEKEN LIGHT 5L KEG
  0-82488-12300,  HEINEKEN PREM LT 12PK BTL
  0-82488-12381,  HEINEKEN PREM LT 12PK CNS
  0-84543-80007,  HEINEKEN PREM LT 6PK BTLS
  0-84662-00600,  HEINEKEN SPECIAL DARK 6PK
  6-60588-08006,  HENRY WEINHARD S AMBER AL
  6-60588-09006,  HENRY WEINHARD S PRV RRSV
  0-71990-09536,  HENRY WEINHARD S WOOD IPA
  6-60588-09060,  HENRY WEINHARD S WOOD IPA
  0-82488-12400,  HOEGAARDEN BELGIAN 12PK
  0-85725-31608,  HOEGAARDEN BELGIAN 6PK
  6-38489-00094,  HORSEHEADS BLK HORSE ALE
  6-38489-00108,  HORSEHEADS BRKYARD RED
  6-38489-00111,  HORSEHEADS CHEMUNG CANAL
  6-38489-00116,  HORSEHEADS CHRISTMAS ALE
  6-38489-00122,  HORSEHEADS HOT JALA
  6-38489-00124,  HORSEHEADS IPA
  6-38489-00126,  HORSEHEADS IROQUOIS WHEAT
  6-41455-00038,  HORSEHEADS PALE EXPED ALE
  6-41455-00044,  HORSEHEADS PEACH WHEAT
  0-70310-00150,  HURRICANE MALT LIQUOR
  0-34100-00882,  ICEHOUSE BEER 6PK CANS
  0-88345-10005,  IMPERIAL IMPORTED BEER
  0-85725-42201,  INNIS & GUNN 4PK BTLS
  0-87600-10068,  INNIS & GUNN GLASS 3PK
  0-87692-78104,  INNIS & GUNN RUM CASK 4PK
  6-66815-01400,  ITHACA APRICOT WHEAT 6PK
  6-41455-00062,  ITHACA EXCELSIOR SERIE 12
  6-42855-51280,  ITHACA EXCELSIOR SERIES W
  6-66815-02501,  ITHACA FLOWER POWER SSNL
  6-66815-02600,  ITHACA NUT BROWN 6PK NR
  6-66815-02700,  ITHACA PALE ALE 6PK NR
  6-66815-02900,  ITHACA SEASONAL 6PK NR
  0-71990-09554,  ITHACA SEASONAL VARIETY
  0-80432-80228,  JEREMIAH WEED LIGHT LEMON
  0-80432-80239,  JEREMIAH WEED ROADHOUSE T
  0-80432-80288,  JEREMIAH WEED SPIKED COLA
  4-11491-00124,  JEVER ORIGINAL PILSENER
  0-85725-12206,  JULIUS ECHTER HEFE
  0-42572-05715,  KALIBER NA 6PK BTLS
  0-70310-00107,  KEYSTONE ICE 12PK CANS
  0-34100-07341,  KEYSTONE ICE 30PK CANS
  0-52300-00024,  KEYSTONE ICE 6PK CANS
  0-70310-00149,  KEYSTONE LIGHT 12PK CANS
  0-34100-01256,  KEYSTONE LIGHT 18PK/16Z C
  0-34100-30341,  KEYSTONE LIGHT 30PK CANS
  0-71990-17024,  KILLIAN IRISH RED LGR 12P
  6-80569-16444,  KILLIAN IRISH RED LGR 6PK
  0-89826-50001,  KINGFISHER PREMIUM LAGER
  6-05881-30238,  KIRIN ICHIBAN 6PK
  6-81745-11112,  KONA LONGBOARD LAGER 6PK
  6-81745-11118,  KONA SEASONAL 6PK
  0-62067-04955,  LABATT 50 ALE 12PK REF
  0-18200-12989,  LABATT 52 12PK/12 OZ BTLS
  0-68213-02213,  LABATT 52 30PK CANS
  0-62067-05142,  LABATT BLUE 12P/11.5Z BTL
  0-62067-05151,  LABATT BLUE 12P/12Z CANS
